creationTime,settlementDate,settlementPeriod,settlementRunType,totalExemptSupplyVolume
2026-02-09T10:00:31Z,2025-06-19,48,R3,0.0749
2026-02-09T10:00:31Z,2025-06-19,21,R3,0.3856
2026-02-09T10:00:31Z,2025-06-19,20,R3,0.3774
2026-02-09T10:00:31Z,2025-06-19,19,R3,0.3755
2026-02-09T10:00:31Z,2025-06-19,18,R3,0.355
2026-02-09T10:00:31Z,2025-06-19,17,R3,0.3315
2026-02-09T10:00:31Z,2025-06-19,16,R3,0.3291
2026-02-09T10:00:31Z,2025-06-19,15,R3,0.3092
2026-02-09T10:00:31Z,2025-06-19,14,R3,0.2862
2026-02-09T10:00:31Z,2025-06-19,13,R3,0.2742
2026-02-09T10:00:31Z,2025-06-19,12,R3,0.1962
2026-02-09T10:00:31Z,2025-06-19,11,R3,0.1097
2026-02-09T10:00:31Z,2025-06-19,10,R3,0.0997
2026-02-09T10:00:31Z,2025-06-19,9,R3,0.1002
2026-02-09T10:00:31Z,2025-06-19,8,R3,0.105
2026-02-09T10:00:31Z,2025-06-19,7,R3,0.1068
2026-02-09T10:00:31Z,2025-06-19,6,R3,0.1017
2026-02-09T10:00:31Z,2025-06-19,5,R3,0.1042
2026-02-09T10:00:31Z,2025-06-19,4,R3,0.0782
2026-02-09T10:00:31Z,2025-06-19,3,R3,0.0751
2026-02-09T10:00:31Z,2025-06-19,2,R3,0.0754
2026-02-09T10:00:31Z,2025-06-19,1,R3,0.0725
2026-02-09T10:00:31Z,2025-06-19,22,R3,0.4036
2026-02-09T10:00:31Z,2025-06-19,23,R3,0.3917
2026-02-09T10:00:31Z,2025-06-19,47,R3,0.0744
2026-02-09T10:00:31Z,2025-06-19,25,R3,0.3617
2026-02-09T10:00:31Z,2025-06-19,46,R3,0.0772
2026-02-09T10:00:31Z,2025-06-19,45,R3,0.0795
2026-02-09T10:00:31Z,2025-06-19,44,R3,0.0739
2026-02-09T10:00:31Z,2025-06-19,43,R3,0.0801
2026-02-09T10:00:31Z,2025-06-19,42,R3,0.0929
2026-02-09T10:00:31Z,2025-06-19,41,R3,0.0854
2026-02-09T10:00:31Z,2025-06-19,40,R3,0.0847
2026-02-09T10:00:31Z,2025-06-19,39,R3,0.092
2026-02-09T10:00:31Z,2025-06-19,38,R3,0.1016
2026-02-09T10:00:31Z,2025-06-19,37,R3,0.1113
2026-02-09T10:00:31Z,2025-06-19,24,R3,0.3724
2026-02-09T10:00:31Z,2025-06-19,35,R3,0.1519
2026-02-09T10:00:31Z,2025-06-19,34,R3,0.236
2026-02-09T10:00:31Z,2025-06-19,33,R3,0.289
2026-02-09T10:00:31Z,2025-06-19,32,R3,0.3339
2026-02-09T10:00:31Z,2025-06-19,31,R3,0.3504
2026-02-09T10:00:31Z,2025-06-19,30,R3,0.3556
2026-02-09T10:00:31Z,2025-06-19,29,R3,0.3659
2026-02-09T10:00:31Z,2025-06-19,28,R3,0.3618
2026-02-09T10:00:31Z,2025-06-19,27,R3,0.3664
2026-02-09T10:00:31Z,2025-06-19,26,R3,0.3638
2026-02-09T10:00:31Z,2025-06-19,36,R3,0.128
2026-02-09T10:00:31Z,2025-06-20,14,R3,0.2791
2026-02-09T10:00:31Z,2025-06-20,15,R3,0.295
2026-02-09T10:00:31Z,2025-06-20,16,R3,0.3158
2026-02-09T10:00:31Z,2025-06-20,21,R3,0.3319
2026-02-09T10:00:31Z,2025-06-20,18,R3,0.3338
2026-02-09T10:00:31Z,2025-06-20,19,R3,0.3252
2026-02-09T10:00:31Z,2025-06-20,20,R3,0.3264
2026-02-09T10:00:31Z,2025-06-20,13,R3,0.2567
2026-02-09T10:00:31Z,2025-06-20,17,R3,0.319
2026-02-09T10:00:31Z,2025-06-20,12,R3,0.2272
2026-02-09T10:00:31Z,2025-06-20,6,R3,0.106
2026-02-09T10:00:31Z,2025-06-20,10,R3,0.1152
2026-02-09T10:00:31Z,2025-06-20,9,R3,0.1021
2026-02-09T10:00:31Z,2025-06-20,8,R3,0.1006
2026-02-09T10:00:31Z,2025-06-20,7,R3,0.1106
2026-02-09T10:00:31Z,2025-06-20,5,R3,0.1056
